iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
773,2012-06-26 16:09:00,16:09:35,41086.67292,41086.67332,34.77333,-118.72833,17710.0,5398.008,1.843,184.3,112.0,394.0,575.0,,,531.0,231.0,73.9,16.45,4.469,3.36,,67.6,239.0,23.76,25.69,15.89,5.7,87.0,78.1,1.07,3.19,533.0,10.25,,0.654,0.484,0.277,0.567,,16.38,1.57,1.93,3.349,0.534,1.71,0.42,0.609,0.297,1023.0,42.0,174.0,113.0,18.0,7.0,15.0,,40.0,,,7.0,7.0,,,,,,,,,,8.0,,,,,4.0,,,11.0,19.0,18.0,,,,,4.0,,,4.0,,8.0,48.0,80.0,7.0,19.0,5.0,,,,,,,,3.0,,,,"(34.77333, -118.72833)",2012,6,26,16
774,2012-06-26 16:14:00,16:14:50,41086.67639,41086.67697,34.64167,-119.06667,23245.0,7085.076,1.804,180.4,68.0,400.0,651.0,,,539.0,239.0,75.0,17.04,4.179,3.16,,66.2,230.0,23.34,25.39,10.59,4.85,84.8,53.3,0.14,1.35,627.0,8.89,,0.686,0.167,,0.463,,9.86,4.368,1.243,0.663,0.156,0.295,0.164,0.285,,392.0,7.0,49.0,19.0,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,9.0,24.0,11.0,,,29.0,35.0,40.0,42.0,65.0,85.0,173.0,16.0,21.0,"(34.64167, -119.06667)",2012,6,26,16
775,2012-06-26 16:17:00,16:17:52,41086.67847,41086.67907,34.555,-119.28833,25005.0,7621.524,1.805,180.5,71.0,400.0,595.0,,,540.0,238.0,73.3,16.62,4.015,3.32,,63.0,223.0,22.42,25.9,10.64,4.8,85.1,48.3,0.16,1.28,584.0,8.06,,0.725,0.14,0.154,0.667,,9.53,5.333,1.337,0.687,0.176,0.336,,0.167,0.118,370.0,5.0,47.0,23.0,5.0,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,17.0,21.0,3.0,,,,,,,,,,6.0,8.0,,,,,,,,,,,4.0,4.0,8.0,,,"(34.555, -119.28833)",2012,6,26,16
776,2012-06-26 16:20:00,16:20:58,41086.68058,41086.68123,34.44333,-119.50333,27006.0,8231.4288,1.8,180.0,69.0,399.0,586.0,,,537.0,237.0,73.4,16.9,4.142,3.41,,63.5,223.0,22.7,24.2,10.94,4.84,83.6,48.7,0.17,1.33,558.0,7.91,,0.675,0.166,,0.668,,9.17,5.876,1.502,0.524,0.108,0.194,,,,362.0,6.0,43.0,14.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,6.0,13.0,,,,,,,,,,,,,,,,"(34.44333, -119.50333)",2012,6,26,16
777,2012-06-26 16:30:00,16:30:59,41086.6875,41086.68818,34.32,-120.20667,26016.0,7929.6768,1.804,180.4,62.0,403.0,579.0,,,529.0,238.0,76.8,16.43,4.046,3.21,,66.4,229.0,23.07,26.8,10.52,4.83,85.1,43.5,0.33,1.01,565.0,8.12,,0.619,0.13,,0.317,,6.85,4.599,1.133,0.432,,0.173,,,,378.0,7.0,39.0,24.0,3.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,6.0,,,,,,,,,,,3.0,,11.0,,,"(34.32, -120.20667)",2012,6,26,16
778,2012-06-26 16:38:00,16:39:00,41086.69306,41086.69375,34.345,-119.30167,26060.0,7943.088,1.807,180.7,71.0,401.0,606.0,,,539.0,240.0,73.7,16.72,4.231,3.39,,64.5,226.0,22.58,24.79,10.79,5.16,86.1,61.6,0.32,1.3,585.0,8.48,,0.798,0.166,0.368,0.752,,11.09,5.011,1.524,0.867,0.731,1.739,0.392,0.354,,385.0,16.0,54.0,18.0,10.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,21.0,3.0,,,4.0,8.0,,,,7.0,,8.0,12.0,,,,,,,,,,,,,6.0,,,"(34.345, -119.30167)",2012,6,26,16
779,2012-06-26 16:45:00,16:45:50,41086.69792,41086.6985,34.27333,-119.05333,24830.0,7568.184,1.807,180.7,69.0,399.0,601.0,,,548.0,241.0,77.2,16.74,4.102,3.56,,65.6,231.0,22.85,27.84,10.65,5.07,87.2,52.2,0.11,1.37,570.0,8.29,,0.674,0.165,0.105,0.663,,9.79,5.41,1.472,0.553,0.114,0.196,,,,377.0,6.0,47.0,14.0,5.0,,,,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,10.0,5.0,3.0,,,,,,,,4.0,,,11.0,,,,,,,,,,,,,,,,"(34.27333, -119.05333)",2012,6,26,16
780,2012-06-26 16:49:00,16:49:36,41086.70069,41086.70111,34.52667,-119.32667,17400.0,5303.52,1.839,183.9,102.0,396.0,581.0,,,539.0,239.0,74.4,17.17,4.207,3.45,,66.7,233.0,23.38,26.91,14.02,5.33,87.1,67.9,0.16,2.42,535.0,8.23,,0.718,0.16,0.129,0.595,,14.74,2.063,1.615,2.396,0.457,1.248,0.336,0.356,0.167,760.0,8.0,107.0,65.0,6.0,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,13.0,4.0,,,,,,,,,6.0,,5.0,19.0,,,,,,,,,,,,,,,,"(34.52667, -119.32667)",2012,6,26,16
781,2012-06-26 16:51:00,16:51:35,41086.70208,41086.70249,34.445,-119.435,15140.0,4614.672,1.826,182.6,89.0,399.0,589.0,,,537.0,237.0,73.9,16.87,4.08,3.43,,67.0,233.0,23.44,25.77,12.57,5.32,87.9,60.7,0.23,2.08,546.0,8.38,,0.539,0.108,0.196,0.472,,12.62,1.751,1.105,1.269,0.457,0.905,0.361,0.382,0.34,678.0,7.0,96.0,56.0,7.0,4.0,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,4.0,,,,7.0,14.0,,,4.0,,5.0,19.0,4.0,,,,,,,,,,,,4.0,,,"(34.445, -119.435)",2012,6,26,16
782,2012-06-26 16:54:00,16:54:55,41086.70417,41086.7048,34.30167,-119.31167,13376.0,4077.0048,1.826,182.6,80.0,400.0,597.0,,,534.0,237.0,76.3,16.88,4.12,3.48,,68.7,232.0,23.13,25.65,12.76,5.13,87.2,61.1,0.16,2.23,553.0,8.77,,0.538,0.129,,0.307,,12.56,1.45,1.079,0.983,0.174,0.527,0.104,0.164,0.109,671.0,8.0,75.0,59.0,8.0,4.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,11.0,,,,,,,,6.0,,6.0,13.0,,,,,,,,,,,,,,,,"(34.30167, -119.31167)",2012,6,26,16
783,2012-06-26 16:58:00,16:58:50,41086.70694,41086.70752,34.11833,-119.04833,11086.0,3379.0128,1.838,183.8,101.0,399.0,572.0,,,535.0,235.0,75.7,16.85,4.181,3.19,,68.3,237.0,23.54,28.48,13.88,5.24,87.1,63.9,0.12,2.32,532.0,8.74,,0.541,0.137,0.124,0.246,,11.4,1.667,1.232,1.539,0.273,0.827,0.159,0.171,0.121,814.0,9.0,97.0,55.0,7.0,6.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,4.0,,,13.0,,,,,,,,,,,,,,,,"(34.11833, -119.04833)",2012,6,26,16
784,2012-06-26 17:02:00,17:02:47,41086.70972,41086.71027,34.035,-118.69,3912.0,1192.3776,1.836,183.6,85.0,400.0,595.0,,,539.0,239.0,74.6,16.84,4.252,3.44,,69.2,243.0,24.05,28.51,14.49,5.38,86.2,74.0,0.43,2.5,558.0,9.11,,0.642,0.123,0.101,0.521,,15.36,1.783,1.391,1.441,0.181,0.879,0.192,0.396,0.233,762.0,9.0,87.0,47.0,7.0,4.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,17.0,28.0,3.0,,,,4.0,3.0,,,6.0,,5.0,15.0,,,,,,,,,,,,3.0,3.0,,,"(34.035, -118.69)",2012,6,26,17
785,2012-06-26 17:05:00,17:05:42,41086.71181,41086.71229,34.015,-118.42,6507.0,1983.3336,1.846,184.6,100.0,397.0,612.0,,,541.0,238.0,74.2,16.95,4.162,3.51,,65.9,227.0,22.66,25.5,14.6,5.31,86.0,74.6,0.15,2.69,576.0,8.59,,0.598,0.138,,0.502,,15.68,1.907,1.33,1.393,0.231,0.598,0.193,0.261,0.108,777.0,10.0,79.0,42.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,23.0,,,,,,,,5.0,,7.0,14.0,3.0,,,,,,,,,,,3.0,5.0,,,"(34.015, -118.42)",2012,6,26,17
786,2012-06-26 17:06:00,17:06:41,41086.7125,41086.71297,34.02,-118.33167,5534.0,1686.7632,1.816,181.6,87.0,400.0,588.0,,,543.0,243.0,76.6,17.09,4.013,3.39,,68.0,237.0,24.14,28.75,14.32,5.44,85.7,51.9,0.19,1.26,533.0,8.06,,0.695,,,0.199,,9.1,1.732,0.848,0.678,0.12,0.319,,,,517.0,14.0,50.0,24.0,7.0,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,"(34.02, -118.33167)",2012,6,26,17
787,2012-06-26 17:07:00,17:07:44,41086.71319,41086.7137,34.02667,-118.26833,3917.0,1193.9016,1.838,183.8,81.0,397.0,577.0,,,532.0,239.0,73.5,16.8,4.323,3.33,,73.0,248.0,24.86,29.95,14.29,5.77,88.1,74.7,0.37,2.52,549.0,9.7,,0.731,0.124,0.134,0.622,,14.88,2.17,1.489,1.66,1.484,0.697,0.272,0.823,0.159,720.0,36.0,59.0,44.0,29.0,7.0,15.0,,9.0,,,,3.0,,,,,,,,,,,,,,,,,,21.0,34.0,15.0,,,,7.0,9.0,,,6.0,,10.0,11.0,,,,,,,,,,,,,3.0,,,"(34.02667, -118.26833)",2012,6,26,17
788,2012-06-26 17:08:00,17:08:42,41086.71389,41086.71438,34.00833,-118.21833,3081.0,939.0888,1.853,185.3,105.0,395.0,600.0,,,531.0,240.0,75.3,16.36,4.077,3.45,,69.4,231.0,23.54,26.02,18.31,5.76,88.2,80.1,1.92,3.65,565.0,10.74,,0.81,0.647,0.375,0.76,,16.35,2.289,1.638,1.731,0.414,0.855,0.156,0.602,0.328,879.0,51.0,82.0,74.0,31.0,7.0,12.0,,51.0,,,11.0,,,,,,,,,,,9.0,,4.0,7.0,7.0,4.0,,,21.0,20.0,6.0,,,,,,,,8.0,,7.0,28.0,110.0,10.0,28.0,7.0,,,,5.0,3.0,,5.0,14.0,12.0,,,"(34.00833, -118.21833)",2012,6,26,17
789,2012-06-26 17:09:00,17:09:40,41086.71458,41086.71505,33.96333,-118.305,2911.0,887.2728,1.851,185.1,102.0,398.0,541.0,,,542.0,244.0,77.2,17.15,4.184,3.24,,73.6,240.0,24.45,28.56,14.69,5.42,88.6,61.5,0.22,2.32,494.0,8.28,,0.706,0.146,,0.297,,10.74,2.32,1.236,0.935,0.197,0.431,,,0.233,811.0,19.0,69.0,49.0,4.0,4.0,6.0,,3.0,,,7.0,4.0,,,,,,,,,,,,,,,8.0,,,,5.0,,,,,,,,,4.0,,4.0,8.0,3.0,,,,,,,,,,,,,,,"(33.96333, -118.305)",2012,6,26,17
790,2012-06-26 17:10:00,17:10:23,41086.71528,41086.71554,33.96333333,-118.296693,2417.0,736.7016,1.847,184.7,84.0,399.0,578.0,,,541.0,237.0,74.3,17.24,4.392,3.43,,126.6,336.0,26.28,57.81,15.19,5.48,86.4,73.1,0.27,3.26,522.0,8.64,,0.661,0.206,0.12,0.719,,14.78,2.373,1.659,1.929,0.548,1.79,0.747,1.787,1.147,854.0,43.0,84.0,99.0,7.0,17.0,22.0,,3.0,,,29.0,20.0,,,,,,,,,,3.0,,,,,3.0,,3.0,7.0,15.0,,,,4.0,7.0,6.0,,,20.0,,,15.0,7.0,,3.0,,,,,,,,,,4.0,,,"(33.96333333, -118.296693)",2012,6,26,17
791,2012-06-26 17:10:00,17:10:48,41086.71563,41086.71583,33.961332,-118.3233333,2010.0,612.648,1.959,195.9,187.0,419.0,648.0,10.0,,544.0,262.0,76.8,17.52,5.047,3.56,,195.9,414.0,25.67,81.83,25.97,7.06,89.8,120.5,4.12,126.58,594.0,13.35,0.399,0.933,1.432,0.826,2.551,,15.76,3.895,3.226,7.101,1.63,8.61,3.651,7.368,8.112,2852.0,846.0,734.0,2203.0,210.0,485.0,764.0,,33.0,6.0,,1025.0,427.0,,40.0,,,,,,,,139.0,52.0,28.0,19.0,14.0,41.0,66.0,206.0,128.0,111.0,98.0,,,111.0,63.0,161.0,,42.0,141.0,,72.0,118.0,259.0,62.0,199.0,66.0,,,19.0,64.0,32.0,28.0,40.0,149.0,63.0,26.0,13.0,"(33.961332, -118.3233333)",2012,6,26,17
792,2012-06-26 17:11:00,17:11:17,41086.71597,41086.71617,33.957912,-118.347071,1190.0,362.712,2.094,209.4,371.0,446.0,642.0,46.0,,542.0,289.0,78.5,16.9,5.494,3.59,,195.3,365.0,26.42,63.26,39.64,8.48,91.0,169.7,7.42,78.57,548.0,13.82,0.775,1.381,3.005,1.721,5.186,,21.11,5.188,5.34,12.163,2.953,15.619,5.807,11.658,14.803,5812.0,2251.0,1824.0,5261.0,609.0,1128.0,1856.0,,84.0,17.0,9.0,2497.0,1025.0,,116.0,,,,,,,,361.0,149.0,68.0,55.0,44.0,102.0,166.0,609.0,332.0,207.0,231.0,,,237.0,148.0,401.0,,113.0,366.0,,180.0,306.0,722.0,186.0,687.0,225.0,,,50.0,200.0,94.0,75.0,97.0,453.0,157.0,98.0,24.0,"(33.957912, -118.347071)",2012,6,26,17
793,2012-06-26 17:11:00,17:11:47,41086.71632,41086.71652,33.955,-118.3833333,732.0,223.1136,2.033,203.3,304.0,437.0,646.0,27.0,,548.0,271.0,79.3,18.16,5.287,3.89,,186.1,336.0,27.03,44.91,31.49,8.41,90.6,142.8,15.68,51.11,546.0,12.96,0.676,1.065,1.823,1.05,3.675,,17.58,4.328,4.116,9.426,2.365,11.87,4.427,9.749,10.823,4832.0,1908.0,2149.0,4521.0,483.0,818.0,1423.0,,69.0,16.0,11.0,2004.0,815.0,,96.0,,,,,,,,281.0,113.0,55.0,47.0,35.0,78.0,124.0,440.0,264.0,160.0,168.0,,,180.0,113.0,314.0,,90.0,293.0,,154.0,236.0,542.0,139.0,496.0,160.0,,,34.0,133.0,63.0,52.0,61.0,312.0,108.0,59.0,14.0,"(33.955, -118.3833333)",2012,6,26,17
794,2012-06-26 17:12:00,17:12:16,41086.71667,41086.71685,33.952724,-118.397821,350.0,106.68,2.0,200.0,283.0,425.0,706.0,57.0,,545.0,254.0,76.7,17.38,4.841,4.08,,112.4,302.0,25.15,36.88,29.82,7.26,90.4,109.8,5.0,51.32,606.0,11.06,0.798,1.179,1.365,0.764,3.678,,16.1,4.361,3.429,6.888,2.179,7.969,3.108,6.152,6.821,3209.0,2455.0,1938.0,3423.0,549.0,471.0,823.0,,92.0,14.0,13.0,932.0,454.0,,34.0,,,,,,,,202.0,125.0,108.0,136.0,97.0,47.0,74.0,271.0,164.0,166.0,147.0,,,110.0,60.0,193.0,,51.0,219.0,,221.0,195.0,369.0,123.0,410.0,156.0,,,69.0,203.0,112.0,103.0,148.0,506.0,286.0,35.0,15.0,"(33.952724, -118.397821)",2012,6,26,17
795,2012-06-26 17:12:00,17:12:45,41086.71701,41086.71719,33.95,-118.425193,452.0,137.7696,1.935,193.5,161.0,413.0,643.0,54.0,,538.0,252.0,76.0,17.1,4.456,4.0,,172.8,363.0,27.8,58.45,23.12,6.69,87.9,97.8,3.39,18.69,558.0,10.14,0.786,1.116,0.903,0.581,3.372,,14.63,4.095,3.159,5.184,1.612,6.431,2.484,5.257,5.224,2460.0,723.0,579.0,1818.0,205.0,399.0,654.0,,22.0,3.0,,575.0,290.0,,10.0,,,,,,,,92.0,35.0,20.0,19.0,18.0,22.0,33.0,100.0,81.0,42.0,52.0,,,51.0,32.0,113.0,,26.0,80.0,,40.0,69.0,138.0,31.0,97.0,33.0,,,10.0,31.0,15.0,13.0,15.0,65.0,28.0,13.0,,"(33.95, -118.425193)",2012,6,26,17
796,2012-06-26 17:13:00,17:13:18,41086.71736,41086.71757,33.94833,-118.45,904.0,275.5392,2.007,200.7,248.0,415.0,656.0,23.0,,546.0,267.0,79.9,17.4,4.621,3.78,,85.7,261.0,23.73,33.97,29.69,7.78,91.2,118.0,9.74,55.83,597.0,13.93,0.653,0.836,1.4,0.607,2.243,,15.54,3.299,3.191,6.542,1.78,8.282,3.541,7.01,8.011,4039.0,1720.0,1734.0,3626.0,430.0,637.0,1047.0,,63.0,10.0,,1442.0,598.0,,38.0,,,,,,,,214.0,104.0,50.0,42.0,32.0,59.0,98.0,334.0,211.0,112.0,123.0,,,128.0,79.0,233.0,,66.0,210.0,,117.0,197.0,401.0,110.0,340.0,112.0,,,23.0,80.0,39.0,33.0,92.0,252.0,182.0,28.0,7.0,"(33.94833, -118.45)",2012,6,26,17
797,2012-06-26 17:13:00,17:13:46,41086.71771,41086.71789,33.945212,-118.49523,1666.0,507.7968,1.947,194.7,99.0,402.0,580.0,,,546.0,242.0,77.4,17.19,4.254,3.58,,100.7,291.0,25.91,34.13,20.1,5.61,88.7,82.3,1.01,5.69,528.0,9.43,0.222,0.755,0.71,0.312,1.165,,15.45,3.593,2.552,5.144,0.968,6.808,2.272,4.349,5.132,1491.0,106.0,177.0,657.0,10.0,140.0,198.0,,3.0,,,172.0,71.0,,,,,,,,,,19.0,10.0,4.0,4.0,3.0,13.0,9.0,22.0,25.0,11.0,15.0,,,8.0,,22.0,,7.0,22.0,,9.0,28.0,33.0,7.0,11.0,5.0,,,,3.0,,,,5.0,3.0,,,"(33.945212, -118.49523)",2012,6,26,17
798,2012-06-26 17:14:00,17:14:18,41086.71806,41086.71826,33.942603,-118.534226,1610.0,490.728,1.956,195.6,113.0,404.0,656.0,,,549.0,243.0,78.0,17.25,4.288,3.51,,106.3,323.0,26.34,42.87,24.17,5.77,88.9,86.3,1.2,7.23,592.0,9.73,0.291,0.693,1.243,0.431,1.192,,14.32,3.504,2.667,5.309,1.016,6.634,2.401,4.753,5.353,1878.0,164.0,219.0,868.0,21.0,159.0,248.0,,,,,229.0,101.0,,,,,,,,,,30.0,14.0,6.0,5.0,6.0,14.0,13.0,35.0,34.0,,,,,,12.0,33.0,,9.0,32.0,,15.0,37.0,50.0,12.0,26.0,11.0,,,13.0,16.0,17.0,17.0,27.0,41.0,75.0,7.0,7.0,"(33.942603, -118.534226)",2012,6,26,17
799,2012-06-26 17:14:00,17:14:52,41086.71846,41086.71866,33.93333,-118.58333,1525.0,464.82,2.02,202.0,144.0,402.0,643.0,3.0,,550.0,250.0,78.7,17.52,4.41,3.43,,110.1,317.0,24.84,42.94,31.12,6.61,90.2,106.1,1.68,9.63,593.0,11.45,0.407,0.845,2.563,0.806,1.81,,15.01,4.047,3.303,6.368,1.318,8.065,2.913,5.856,6.974,2606.0,308.0,309.0,1418.0,43.0,293.0,434.0,,8.0,,,412.0,180.0,,7.0,,,,,,,,60.0,25.0,9.0,9.0,7.0,21.0,23.0,73.0,60.0,33.0,38.0,,,35.0,21.0,62.0,,20.0,57.0,,29.0,63.0,94.0,24.0,57.0,21.0,,,7.0,18.0,11.0,9.0,15.0,46.0,30.0,,,"(33.93333, -118.58333)",2012,6,26,17
800,2012-06-26 17:15:00,17:15:16,41086.71875,41086.71894,33.912809,-118.59377,1453.0,442.8744,2.015,201.5,154.0,403.0,585.0,2.0,,552.0,248.0,78.0,17.35,4.585,3.77,,102.9,303.0,24.66,42.37,33.72,6.4,91.0,96.8,1.95,10.97,530.0,10.4,0.405,0.885,2.937,1.014,2.163,,16.43,4.891,3.613,7.443,1.604,8.869,3.107,6.011,7.594,2608.0,378.0,376.0,1478.0,51.0,293.0,424.0,,9.0,,,448.0,185.0,,6.0,,,,,,,,57.0,26.0,11.0,8.0,7.0,19.0,23.0,65.0,62.0,35.0,40.0,,,36.0,28.0,73.0,,17.0,63.0,,29.0,61.0,111.0,21.0,49.0,18.0,,,6.0,13.0,8.0,6.0,4.0,17.0,6.0,4.0,,"(33.912809, -118.59377)",2012,6,26,17
801,2012-06-26 17:15:00,17:15:48,41086.7191,41086.71931,33.88167,-118.600086,1503.0,458.1144,2.008,200.8,142.0,399.0,608.0,2.0,,551.0,248.0,78.1,17.1,4.329,3.72,,102.3,297.0,24.33,44.92,30.28,6.06,89.5,97.5,1.44,8.56,550.0,11.04,0.4,0.793,2.32,0.848,1.863,,14.55,3.979,2.997,6.611,1.26,8.242,2.857,5.796,6.956,2372.0,305.0,312.0,1371.0,46.0,296.0,411.0,,7.0,,,406.0,170.0,,5.0,,,,,,,,52.0,21.0,11.0,8.0,6.0,18.0,20.0,62.0,56.0,28.0,35.0,,,30.0,22.0,64.0,,18.0,54.0,,22.0,54.0,86.0,17.0,38.0,14.0,,,6.0,11.0,8.0,8.0,6.0,19.0,14.0,3.0,,"(33.88167, -118.600086)",2012,6,26,17
802,2012-06-26 17:16:00,17:16:17,41086.71944,41086.71964,33.85167,-118.60333,1464.0,446.2272,1.999,199.9,140.0,403.0,623.0,1.0,,550.0,251.0,78.3,17.43,4.225,3.65,,91.8,265.0,24.24,37.03,26.1,6.55,89.9,90.2,1.35,7.4,569.0,10.89,0.367,0.717,1.682,0.627,1.441,,13.69,3.646,2.88,5.925,1.154,7.744,2.778,5.402,6.437,2032.0,237.0,260.0,1212.0,26.0,282.0,384.0,,5.0,,,362.0,152.0,,,,,,,,,,46.0,16.0,7.0,6.0,5.0,17.0,16.0,52.0,45.0,26.0,27.0,,,26.0,16.0,50.0,,14.0,43.0,,22.0,44.0,68.0,14.0,28.0,11.0,,,4.0,7.0,5.0,4.0,6.0,13.0,9.0,3.0,,"(33.85167, -118.60333)",2012,6,26,17
803,2012-06-26 17:16:00,17:16:48,41086.71979,41086.72,33.82667,-118.605,1470.0,448.056,1.955,195.5,114.0,394.0,588.0,1.0,,545.0,243.0,76.5,17.04,4.26,3.54,,80.4,251.0,23.79,30.2,22.44,5.85,89.0,90.7,1.26,5.87,518.0,11.06,0.317,0.758,1.118,0.452,1.531,,13.47,4.012,2.835,6.305,1.182,9.264,3.062,6.075,6.754,1738.0,158.0,226.0,1022.0,17.0,254.0,358.0,,6.0,,,304.0,136.0,,,,,,,,,,36.0,15.0,7.0,5.0,3.0,12.0,14.0,39.0,48.0,19.0,24.0,,,18.0,13.0,39.0,,11.0,35.0,,16.0,35.0,47.0,9.0,15.0,7.0,,,,3.0,,,,4.0,,,,"(33.82667, -118.605)",2012,6,26,17
804,2012-06-26 17:17:00,17:17:41,41086.72014,41086.72061,33.795,-118.61,1480.0,451.104,1.886,188.6,105.0,400.0,598.0,,,545.0,239.0,75.9,17.14,4.151,3.43,,95.2,290.0,24.14,29.18,20.18,5.46,88.5,84.1,0.93,4.91,535.0,10.44,0.303,0.861,0.608,0.273,1.536,,14.39,3.953,2.727,5.378,0.995,7.281,2.343,4.609,4.805,1373.0,89.0,170.0,588.0,9.0,122.0,172.0,,4.0,,,140.0,64.0,,,,,,,,,,17.0,9.0,5.0,4.0,,6.0,8.0,19.0,26.0,14.0,14.0,,,13.0,8.0,22.0,,5.0,18.0,,5.0,23.0,27.0,5.0,8.0,4.0,,,,,,,,5.0,5.0,,,"(33.795, -118.61)",2012,6,26,17
805,2012-06-26 17:18:00,17:18:24,41086.72083,41086.72111,33.735,-118.625,1225.0,373.38,1.885,188.5,116.0,403.0,614.0,,,546.0,242.0,77.7,17.35,4.194,3.52,,80.7,255.0,24.07,27.53,21.7,6.08,88.4,77.1,1.58,5.43,551.0,9.43,0.381,0.724,0.755,0.331,1.604,,11.43,2.853,2.349,4.444,0.886,5.739,2.082,3.888,4.183,1581.0,156.0,223.0,595.0,13.0,99.0,150.0,,3.0,,,156.0,67.0,,,,,,,,,,21.0,10.0,5.0,4.0,,9.0,8.0,26.0,27.0,16.0,19.0,,,16.0,10.0,29.0,,3.0,20.0,,4.0,33.0,43.0,8.0,13.0,6.0,,,,,,,,4.0,4.0,,,"(33.735, -118.625)",2012,6,26,17
806,2012-06-26 17:18:00,17:18:51,41086.72118,41086.72142,33.705,-118.63667,1040.0,316.992,1.887,188.7,104.0,398.0,601.0,4.0,,547.0,238.0,75.4,17.26,4.172,3.54,,68.1,232.0,23.37,25.6,19.71,5.71,88.3,72.7,0.86,4.25,516.0,9.57,0.522,1.04,0.505,0.246,2.272,,13.9,4.626,2.875,4.655,1.059,6.864,2.343,4.477,4.283,1335.0,123.0,164.0,561.0,16.0,157.0,202.0,,,,,138.0,76.0,,,,,,,,,,20.0,7.0,,,,7.0,6.0,19.0,21.0,,,,,,8.0,14.0,,4.0,16.0,,5.0,24.0,26.0,5.0,7.0,3.0,,,,,,,,,,,,"(33.705, -118.63667)",2012,6,26,17
807,2012-06-26 17:19:00,17:19:21,41086.72153,41086.72177,33.66833,-118.6417,866.0,263.9568,1.86,186.0,80.0,402.0,591.0,3.0,,541.0,239.0,76.1,16.96,4.032,3.47,,74.6,248.0,24.29,25.19,17.45,5.89,86.2,61.0,0.32,2.55,507.0,8.58,0.656,1.065,0.261,0.144,2.399,,12.39,4.818,2.658,2.619,0.776,2.141,0.658,1.323,1.135,850.0,27.0,54.0,115.0,4.0,21.0,32.0,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,10.0,4.0,3.0,,,,4.0,3.0,,,4.0,,,12.0,4.0,,,,,,,,,,,,4.0,,,"(33.66833, -118.6417)",2012,6,26,17
